iter	Passed	Remaining
0	1	163
1	3	175
2	4	160
3	7	176
4	8	170
5	10	171
6	12	163
7	14	162
8	16	162
9	17	161
10	19	158
11	21	154
12	23	154
13	24	149
14	26	148
15	27	144
16	29	143
17	30	140
18	35	152
19	38	153
20	39	150
21	41	146
22	43	143
23	44	141
24	46	138
25	47	136
26	49	133
27	52	133
28	53	131
29	55	128
30	56	126
31	58	124
32	61	123
33	65	127
34	67	125
35	69	123
36	71	121
37	73	119
38	79	124
39	81	121
40	82	119
41	83	115
42	85	113
43	86	110
44	87	107
45	89	105
46	91	102
47	92	100
48	93	97
49	95	95
50	96	92
51	97	90
52	98	87
53	100	85
54	101	82
55	102	80
56	104	78
57	106	76
58	108	75
59	109	73
60	111	71
61	112	69
62	114	67
63	115	64
64	116	62
65	118	60
66	119	58
67	121	56
68	122	55
69	126	54
70	128	52
71	130	50
72	131	48
73	132	46
74	134	44
75	136	43
76	138	41
77	139	39
78	140	37
79	142	35
80	143	33
81	145	31
82	146	29
83	147	28
84	148	26
85	149	24
86	151	22
87	152	20
88	153	18
89	154	17
90	156	15
91	157	13
92	159	12
93	161	10
94	162	8
95	164	6
96	165	5
97	168	3
98	171	1
99	174	0
